"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Other zinc ores",,"2024","500","Metric ton (1000 kg)","416541.15",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Refined lead, unwrought",,"2024","150149.99","Kilogram","355782.41",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other semi-manufactured forms of gold",,"2024","4","Kilogram","281430.40",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Titanium ores and concentrates",,"2024","226","Dry metric tonnes","183678.34",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought gold (incl. gold plated with platinum), non-monetary",,"2024","2349.82","Gram","182008.88",,"6","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other semi-manufactured forms of gold",,"2024","1443","Gram","116305.26",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper matte",,"2024","150","Metric ton (1000 kg)","107122.85",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Tungsten ores and concentrates",,"2024","30","Dry metric tonnes","89224.2",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"MANGANESE ORES/CONCENTRATES(INC.FERRUGINOUS), WITH MANGANESE CONT.OF=>20%",,"2024","1003268","Kilogram","53040.76",,"15","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Titanium ores and concentrates",,"2024","26","Metric ton (1000 kg)","19632.46",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Bullion; semi-manufactured form of gold",,"2024","141","Gram","11234.49",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Nickel ores and concentrates",,"2024","5405","Kilogram","10450.75",,"9","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Other waste and scrap of precious metals",,"2024","1.5","Metric ton (1000 kg)","9486.48",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Oxide",,"2024","10635.5","Kilogram","8415.73",,"33","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Slag containing copper",,"2024","20","Metric ton (1000 kg)","7479.94",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Precious metal ores and concentrates (excl. silver)",,"2024","5.2","Kilogram","6332.34",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Sulphide",,"2024","2170","Kilogram","4428.2",,"21","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unroasted iron pyrite ore",,"2024","7746.31","Kilogram","4053.73",,"8","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Niobium, tantalum and vanadium ores and concentrates",,"2024","146","Kilogram","3183.55",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
